source	translated	reference
A man in an orange jumpsuit and matching hard hat is helping with a blue hose	Một người đàn ông trong một người đàn ông mặc áo lễ màu cam mặc quần áo và phù hợp với mũ là giúp đỡ với một vòi nước	Một người đàn ông mặc bộ đồ liền quần màu cam và đội mũ bảo hiểm phù hợp đang giúp đỡ bằng ống màu xanh
A man and two girls show off a fish while holding fishing poles in front of a body of water.	Một người đàn ông và hai cô gái khoe một con cá trong khi đang mang gậy đánh cá ở phía trước một hồ nước.	Một người đàn ông và hai cô gái đang giơ một con cá trong khi cầm cần câu trước một vùng nước.
Man in red shirt watches dog on an agility course.	Người đàn ông mặc áo sơ mi màu đỏ đồng hồ trên một đường đua.	Người đàn ông mặc áo sơ mi đỏ đang theo dõi chú chó trên đường đua vượt chướng ngại vật.
A boy wearing red and white swimming trunks diving backwards in a beautiful pool.	Một chàng trai mặc quần bơi màu đỏ trắng và trắng sau lưng trong một hồ bơi đẹp đẽ.	Một cậu bé mặc quần bơi màu đỏ và trắng đang lặn ngửa trong một hồ bơi tuyệt đẹp.
An Asian woman pinning her hair back.	Một phụ nữ tóc giả.	Một phụ nữ châu Á đang buộc tóc ra sau.
An older woman and a young child in a pink shirt playing with multicolored blocks.	Một người đàn bà lớn tuổi và một đứa trẻ mặc áo sơ mi màu hồng đang chơi với nhiều khối.	Một phụ nữ lớn tuổi và một đứa trẻ mặc áo sơ mi hồng đang chơi với những khối hình nhiều màu.
A small black dog jumping over gates	Một em gái nhỏ da đen, người phụ	Một con chó đen nhỏ nhảy qua cổng
A brown-haired man in a green shirt plays a trumpet outdoors.	Một người đàn ông tóc nâu mặc áo sơ mi màu xanh thổi kèn kèn.	Một người đàn ông tóc nâu mặc áo sơ mi xanh đang chơi kèn trumpet ngoài trời.
A man talks on the phone with his feet up.	Một người đàn ông nói chuyện điện thoại với đôi chân giơ lên.	Một người đàn ông đang nói chuyện điện thoại với đôi chân giơ lên.
A group of children sit on a blue mat while they eat out of bowls.	Một nhóm trẻ em ngồi trên một tấm thảm xanh trong khi chúng ăn trong bát.	Một nhóm trẻ em ngồi trên tấm thảm màu xanh trong khi ăn trong bát.
A black boy is sitting in the sand.	Một cậu bé da đen đang ngồi trên cát.	Một cậu bé da đen đang ngồi trên cát.
A small dog watches two big dogs playing rough in a field.	Một con chó nhỏ đang chơi hai con chó đẻ đang chơi đùa trên cánh đồng.	Một chú chó nhỏ đang quan sát hai chú chó lớn đang chơi đùa thô bạo trên cánh đồng.
People sitting in a circle outside a large building.	Người ngồi trong một vòng tròn bên ngoài một tòa nhà lớn.	Mọi người ngồi thành vòng tròn bên ngoài một tòa nhà lớn.
One dog leaps to catch a softball while another looks on.	Một con chó muốn bắt một con trong khi một con chó khác nhìn thấy.	Một con chó nhảy lên để bắt một quả bóng mềm trong khi con chó khác đứng nhìn.
A blond child swinging on a swing.	Một cô gái tóc vàng đang đung đưa.	Một đứa trẻ tóc vàng đang đu đưa trên xích đu.
One man and two women having a discussion over white wine	Một người hai vợ hai vợ chồng đã bàn bạc về rượu trắng	Một người đàn ông và hai người phụ nữ đang thảo luận về rượu vang trắng
An Asian man is cooking food outdoors.	Một người đàn ông là nấu ăn thực phẩm.	Một người đàn ông Châu Á đang nấu ăn ngoài trời.
A brown dog about to catch a green Frisbee.	Một con chó nâu chuẩn bị bắt một con cá tuyết xanh.	Một chú chó nâu chuẩn bị bắt một chiếc đĩa Frisbee màu xanh lá cây.
Fans cheer as the band plays a song.	Cổ vũ khi ban nhạc hát một bài hát.	Người hâm mộ reo hò khi ban nhạc chơi một bài hát.
A young boy is standing next to a sand sculpture of a pyramid.	Một cậu bé đang đứng cạnh một tảng cát của kim tự tháp.	Một cậu bé đang đứng cạnh một tác phẩm điêu khắc bằng cát hình kim tự tháp.
Three young children are walking through a grassy yard.	Ba đứa trẻ đang bước đi trong một bãi cỏ.	Ba đứa trẻ đang đi bộ qua một sân cỏ.
A man pounds on an artwork perched on a cart.	Một người đàn ông đánh một cú đá trên một chiếc xe tải.	Một người đàn ông đang đập mạnh vào tác phẩm nghệ thuật được đặt trên xe đẩy.
A man on a bicycle rides on a mountain.	Một người đàn ông đi xe đạp trên một ngọn núi.	Một người đàn ông đang đạp xe trên núi.
A boy with blue and yellow rain boots runs on dirt.	Một cậu bé với đôi giày mưa xanh và màu vàng trên đất.	Một cậu bé đi ủng đi mưa màu xanh và vàng đang chạy trên đất.
A woman in an orange jacket sits on a bench.	Một người phụ nữ mặc áo khoác màu vàng ngồi trên ghế dài.	Một người phụ nữ mặc áo khoác màu cam đang ngồi trên băng ghế.
A man doing a trick on skateboard	♪ Một người đàn ông đang làm một cuộc phiêu	Một người đàn ông đang biểu diễn một trò ảo thuật trên ván trượt
A man in a martial arts uniform in midair.	Một người đàn ông trong bộ quân phục võ thuật.	Một người đàn ông mặc đồng phục võ thuật đang ở giữa không trung.
Woman selling bags of fruit on a sidewalk.	Bán một gói hoa quả trên một vỉa hè.	Người phụ nữ bán túi trái cây trên vỉa hè.
Two soccer teams are on the field.	2 đội đang trên sân bóng.	Có hai đội bóng đá trên sân.
A child in a blue shirt jumping off a bench.	Một đứa trẻ mặc áo xanh nhảy ra khỏi ghế dài.	Một đứa trẻ mặc áo sơ mi xanh đang nhảy từ trên băng ghế xuống.
A goalie in a yellow field is protecting the goal.	Mục tiêu trong sân bóng là bảo vệ mục tiêu.	Một thủ môn trong sân màu vàng đang bảo vệ khung thành.
A group of young people take shots in a Mexican setting.	Một nhóm thanh niên bị bắn trong một môi trường của người Mê-hi-cô.	Một nhóm thanh niên đang chụp ảnh trong bối cảnh Mexico.
A young man skateboards off a pink railing.	Một người đàn ông trẻ tuổi không chịu nổi đau đớn.	Một chàng trai trẻ đang trượt ván trên lan can màu hồng.
A young boy jumping from a bunk bed on a smaller bed.	Một cậu bé nhảy từ giường ngủ trên giường nhỏ.	Một cậu bé nhảy từ giường tầng sang một chiếc giường nhỏ hơn.
Two people wearing odd alien-like costumes, one blue and one purple, are standing in a road.	Hai người mặc bộ đồ kiểu người ngoài hành tinh, một màu xanh và một màu tím, đang đứng trên một con đường.	Hai người mặc trang phục kỳ lạ giống người ngoài hành tinh, một người màu xanh và một người màu tím, đang đứng trên đường.
Man running wearing a blue shirt with a number taped to it.	Người đàn ông mặc áo sơ mi màu xanh có ghi số của nó.	Người đàn ông đang chạy, mặc chiếc áo sơ mi xanh có dán số áo.
An Asian factory worker posing for the camera.	Một công nhân nhà máy làm việc cho máy quay.	Một công nhân nhà máy người Châu Á đang tạo dáng trước ống kính.
A man that appears to be running in a marathon gives us 2 thumbs up.	Một người đàn ông xuất hiện trong một đua xe cho chúng tôi 2 bước lên.	Một người đàn ông trông giống như đang chạy marathon và giơ 2 ngón tay cái lên.
Basketball players shoot for a goal during a game.	Cầu thủ bóng rổ bắn trúng đích trong một trận đấu.	Các cầu thủ bóng rổ đang ném bóng vào rổ trong một trận đấu.
A football player wearing an orange uniform smiling and holding the football.	Một cầu thủ bóng bầu dục mặc đồng phục màu cam mỉm cười và nắm giữ bóng bầu dục.	Một cầu thủ bóng đá mặc đồng phục màu cam đang mỉm cười và cầm quả bóng.
Two downhill skateboarders round a curve while others watch.	Hai cầu thủ vòng quanh một đường cong trong khi những người khác xem.	Hai người trượt ván xuống dốc quanh một khúc cua trong khi những người khác đứng xem.
A team in white and gold on the sidelines of a football field.	Một đội bóng trắng và vàng trên mặt trận sân bóng đá.	Một đội mặc trang phục trắng và vàng đứng bên lề sân bóng đá.
A little girl is pushing her scooter through a grassy tree lined field.	Một cô bé đang bước qua một cánh đồng cỏ đầy cỏ.	Một bé gái đang đẩy chiếc xe tay ga của mình qua một cánh đồng cỏ có hàng cây xanh.
Group of asian children dressed in white shirts and hats performing with a crowd looking on.	Một nhóm trẻ em theo đạo Do Thái mặc áo sơ mi trắng và mặc áo sơ mi trắng và ăn mặc với một đám đông đang ngắm nhìn.	Một nhóm trẻ em châu Á mặc áo sơ mi trắng và đội mũ biểu diễn trước sự chứng kiến ​​của đám đông.
Pedestrians walking down the street look at a child in a cardboard box.	Những người đi bộ trên đường nhìn vào một đứa trẻ trong một cái hộp.	Người đi bộ trên phố nhìn vào một đứa trẻ trong hộp các tông.
A brown dog runs down the sandy beach.	Một con chó nâu chạy dọc theo bãi cát.	Một chú chó nâu chạy dọc bãi biển đầy cát.
Two men in army uniforms stand next to a woman.	Hai người đàn ông trong quân đội đứng cạnh một phụ nữ.	Hai người đàn ông mặc quân phục đứng cạnh một người phụ nữ.
The Dali Lama during a reception where participants have brought carnations, parasols and prayer flags.	Đại hội Dali trong buổi tiệc chiêu đãi, nơi những người tham gia đã mang đến những ca-lo, ô-rê và cờ cầu nguyện.	Đức Đạt Lai Lạt Ma trong một buổi tiếp tân, nơi những người tham dự mang theo hoa cẩm chướng, ô và cờ cầu nguyện.
A biker jumps an obstacle.	Một chiếc xe đạp lao vào một trở ngại.	Một người đi xe đạp vượt qua chướng ngại vật.
A couple sitting in white lawn chairs are smiling at the camera.	Một cặp vợ chồng ngồi trên ghế trắng đang cười với máy quay.	Một cặp đôi đang ngồi trên ghế xếp màu trắng và mỉm cười với ống kính máy ảnh.
Young kids are on a small train ride.	Trẻ em đang đi trên một con tàu nhỏ.	Những đứa trẻ đang đi trên một chuyến tàu nhỏ.
A surfer in a blue swimsuit is riding the waves.	Aer trong một màu xanh nước biển là lướt sóng.	Một người lướt sóng trong bộ đồ bơi màu xanh đang lướt sóng.
The boy jumps onto his soccer player brother.	Cậu bé nhảy vào cầu thủ bóng đá của mình người anh em.	Cậu bé nhảy lên người anh trai là cầu thủ bóng đá của mình.
Two young men on opposing soccer teams are competing to get the ball on a soccer field.	Hai chàng trai trẻ trong đội bóng đá đang thi đấu để có bóng trên sân bóng đá.	Hai chàng trai trẻ của hai đội bóng đá đối địch đang tranh giành quả bóng trên sân bóng.
People are walking on a paved slope surrounded by Chinese vendors.	Mọi người đang đi bộ trên một tảng đá được bao quanh bởi những người Trung Quốc.	Mọi người đang đi bộ trên một con dốc lát đá được bao quanh bởi những người bán hàng Trung Quốc.
A young boy wearing white pants is jumping off the couch.	Một chàng trai trẻ mặc quần trắng đang nhảy khỏi ghế.	Một cậu bé mặc quần trắng đang nhảy khỏi ghế sofa.
A boy in an orange shirt is pouring Legos from a bag.	Một cậu bé mặc áo sơ mi màu cam đang hút thuốc trong một cái túi.	Một cậu bé mặc áo sơ mi màu cam đang đổ Lego từ trong túi ra.
Woman wearing brown sandals and blue jeans, in a white shirt, holding a baby under a tall tree.	Đàn bà mang giày nâu và quần jean xanh, mặc áo sơ mi trắng, ôm em bé dưới chân cây cao.	Người phụ nữ đi dép xăng đan màu nâu và quần jean xanh, mặc áo sơ mi trắng, đang bế một đứa bé dưới một gốc cây cao.
Three people smiling and holding political signs.	Ba người mỉm cười và giữ những biểu hiện chính trị.	Ba người mỉm cười và cầm biểu ngữ chính trị.
An officer stands next to a car on a city street.	Một sĩ quan đứng cạnh một chiếc xe trên đường phố.	Một cảnh sát đứng cạnh một chiếc ô tô trên phố.
Two men wearing hats.	Hai người đàn ông đội mũ.	Hai người đàn ông đội mũ.
A boy in midair trying to kick a soccer ball	Một cậu bé đang cố đá bóng	Một cậu bé đang ở giữa không trung cố gắng đá một quả bóng đá
A young boy with a blue beanie has his head down.	Một chàng trai trẻ với một cục đậu xanh đang cúi đầu xuống.	Một cậu bé đội mũ len màu xanh đang cúi đầu.
A red-haired man with dreadlocks is sitting playing and acoustic guitar.	Một người đàn ông tóc đỏ với hoa dại đang ngồi chơi và âm thanh guitar.	Một người đàn ông tóc đỏ với mái tóc tết đang ngồi chơi đàn guitar acoustic.
A man eating a sandwich with his baby daughter in his lap.	Một người đàn ông đang ăn sandwich với đứa con gái nhỏ trên đùi.	Một người đàn ông đang ăn bánh sandwich với cô con gái nhỏ ngồi trên đùi.
An African American child is holding something up that those in the picture are proud of.	Một đứa trẻ người Mỹ đang giơ lên một cái gì đó mà trong bức tranh đang tự hào.	Một đứa trẻ người Mỹ gốc Phi đang cầm một vật gì đó mà những người trong ảnh cảm thấy tự hào.
A woman directs a crowd of people with a loudspeaker.	Một người đàn bà nói lớn tiếng với đám đông.	Một người phụ nữ đang chỉ đạo đám đông bằng loa phóng thanh.
Costumed onlookers watch as a uniformed policeman makes a speech and a man in a suit holds a bowl of fruit.	Coi chừng như một cảnh sát mặc quân phục làm cho một bài phát biểu và một người đàn ông trong bộ vest đặt một bát trái cây.	Những người xem mặc trang phục hóa trang theo dõi một cảnh sát mặc đồng phục phát biểu và một người đàn ông mặc vest cầm một bát trái cây.
A crowd is present at a bar.	Một đám đông có mặt tại một quán rượu.	Một đám đông đang có mặt tại một quán bar.
A girl in white and a girl in green walk past a blue car wash station.	Một cô gái mặc đồ trắng và một cô gái mặc áo xanh bước qua một trạm rửa xe màu xanh.	Một cô gái mặc đồ trắng và một cô gái mặc đồ xanh lá cây đi ngang qua một trạm rửa xe màu xanh.
A man is using electronic equipment.	Một người đàn ông đang sử dụng thiết bị điện tử.	Một người đàn ông đang sử dụng thiết bị điện tử.
A person surfing through a crashing wave in the ocean.	Một con người xuyên qua làn sóng trong đại dương.	Một người đang lướt qua một con sóng dữ dội trên đại dương.
An army officer is inspecting something.	Một sĩ quan quân đội đang chuẩn bị gì đó.	Một sĩ quan quân đội đang kiểm tra một thứ gì đó.
A bride and groom kiss under the bride's veil.	Một cô dâu và một nụ hôn hồng dưới khăn choàng của cô dâu.	Cô dâu và chú rể hôn nhau dưới tấm mạng che mặt của cô dâu.
Riot police are standing in the background while a young man with a red scarf covering his face is walking.	Cảnh sát đang đứng trên sân sau trong khi một thanh niên đeo khăn choàng đỏ che mặt đang đi.	Cảnh sát chống bạo động đang đứng ở phía sau trong khi một thanh niên đeo khăn quàng đỏ che mặt đang bước đi.
A black and white dog jumping over a steeple vault at a competition	Một người da đen trắng trắng da đen, da da màu trắng trắng da màu màu da da màu, da màu màu màu màu màu da trắng, da màu màu trắng da màu, da màu màu màu màu màu da trắng da màu, da màu màu màu màu da trắng da màu màu màu màu màu màu màu màu màu màu màu màu màu da trắng, da màu màu màu màu màu màu màu màu màu màu màu màu màu màu màu màu da trắng, da màu da trắng da trắng da trắng da màu da trắng da trắng, nhảy nhảy hơn hơn hơn hơn hơn hơn hơn hơn hơn hơn hơn hơn hơn hơn hơn hơn hơn hơn hơn hơn hơn hơn hơn hơn hơn hơn hơn hơn hơn hơn hơn hơn hơn hơn đồng cờ mùa mùa mùa mùa mùa vào vào vào vào vào vào vào vào vào vào vào vào vào vào vào vào vào vào vào vào vào vào vào vào vào vào vào vào vào vào vào vào vào vào vào vào vào vào vào vào vào vào vào vào vào vào vào vào vào vào vào vào vào vào vào vào vào vào vào vào vào vào vào vào vào vào vào vào vào vào vào vào vào vào vào vào vào vào vào vào vào vào vào vào vào vào vào vào vào vào vào vào vào vào vào vào vào vào vào vào vào vào vào vào vào vào vào vào vào vào vào giải giải giải giải giải tại tại tại tại tại tại tại tại tại tại tại tại tại tại tại tại tại tại tại tại tại tại tại tại tại tại tại tại tại tại tại tại tại tại tại tại tại tại tại tại tại tại tại tại tại tại tại tại tại tại tại tại tại tại tại tại tại tại tại tại tại tại tại tại tại tại tại tại tại tại tại tại tại tại tại tại tại tại tại tại tại tại tại tại tại tại tại tại tại tại tại tại tại tại tại tại tại tại tại vui vui vui vui vui vui vui vui vui vui vui vui vui vui vui	Một chú chó đen trắng nhảy qua một mái vòm trong một cuộc thi
A woman wearing a sweater is reading a book in her home.	Một phụ nữ mặc áo len đang đọc sách ở nhà.	Một người phụ nữ mặc áo len đang đọc sách trong nhà.
Several teenagers are looking over a railing in a dark room.	Nhiều thanh niên đang nhìn qua một đường ngang trong một căn phòng tối.	Một vài thanh thiếu niên đang nhìn qua lan can trong một căn phòng tối.
The man in the white t-shirt is starting to climb a rock.	Người mặc áo thun màu trắng đang bắt đầu lắc lư.	Người đàn ông mặc áo phông trắng đang bắt đầu trèo lên một tảng đá.
A teenage boy is stretching in the kitchen and you can see part of his stomach.	Một cậu bé đang đi dạo trong bếp và bạn có thể thấy một phần dạ dày cậu bé.	Một cậu bé tuổi teen đang duỗi người trong bếp và bạn có thể nhìn thấy một phần bụng của cậu ấy.
People are holding various types of drumsticks above different kinds of drums.	Người ta đang cầm nhiều loại que trống trên nhiều loại trống khác nhau.	Mọi người cầm nhiều loại dùi trống khác nhau đặt trên nhiều loại trống khác nhau.
Three farmers harvest rice out in a rice field.	Ba con lúa được thu hoạch trong một cánh đồng lúa mạch.	Ba người nông dân đang thu hoạch lúa trên một cánh đồng lúa.
Two women and a man are looking at a book.	Hai phụ nữ và một người đàn ông đang nhìn vào một cuốn sách.	Hai người phụ nữ và một người đàn ông đang nhìn vào một cuốn sách.
Three children's legs are shown as they stand near a mess of silly string.	Chân của ba đứa trẻ được thể hiện khi chúng đứng gần một đống dây ngớ ngẩn.	Trong ảnh là đôi chân của ba đứa trẻ đang đứng gần một mớ dây thừng ngớ ngẩn.
A cook is posing for a camera while cooking.	Nấu nướng là để làm máy quay trong thời gian đó.	Một đầu bếp đang tạo dáng trước ống kính máy ảnh trong khi nấu ăn.
Many people in a street protesting the use of coal in power plants.	Nhiều người trên một đường phố phản đối việc sử dụng than đá trong các nhà máy điện.	Nhiều người dân trên phố phản đối việc sử dụng than trong các nhà máy điện.
The teen jumps the hill with his bicycle.	Các thanh niên nhảy lên đồi với chiếc xe đạp của mình.	Cậu thiếu niên nhảy xuống đồi bằng xe đạp.
A little girl running at on the shore of a beach.	Một bé gái chạy trên bờ biển.	Một bé gái đang chạy trên bờ biển.
White duck flapping its wings in the water.	Con vịt trắng chiên đôi cánh của nó trong nước.	Vịt trắng vỗ cánh trong nước.
Two males seem to be conversing while standing in front of a truck's back, and behind a metal item, while four people stand around them.	Hai người đàn ông có vẻ như đang đứng trước một chiếc xe tải, và đằng sau một miếng kim loại, trong khi bốn người đứng xung quanh họ.	Hai người đàn ông dường như đang trò chuyện trong khi đứng trước thùng xe tải và đằng sau một vật kim loại, trong khi bốn người đứng xung quanh họ.
A woman in a pink skirt is holding a baby.	Một người phụ nữ mặc váy hồng đang ôm em bé.	Một người phụ nữ mặc váy hồng đang bế một đứa bé.
A hockey player in a yellow jersey is guarding the goal.	Một cầu thủ bóng chày đang ngắm mục tiêu.	Một cầu thủ khúc côn cầu mặc áo vàng đang bảo vệ khung thành.
A man is walking past a large sign that says E.S.E. Electronics.	Một người đang vượt qua một biển báo lớn ghi là E.S.E.	Một người đàn ông đang đi ngang qua một biển báo lớn có ghi chữ E.S.E. Electronics.
Three boys wearing green shirts and tan pants pose at the top of a slide.	Ba thằng con trai mặc áo sơ mi xanh và mặc quần rám nắng ở đỉnh của ván trượt.	Ba cậu bé mặc áo sơ mi xanh và quần nâu tạo dáng ở đầu cầu trượt.
A man is dancing with a dog between his legs.	Một người đàn ông đang giao du với một con chó giữa hai chân của mình.	Một người đàn ông đang nhảy múa với một chú chó giữa hai chân.
The white dog is running in the shallow water.	Con chó trắng đang chảy trong nước biển.	Con chó trắng đang chạy trong vùng nước nông.
Oregon percussionists are marching with the band.	Các nhà tư pháp đang tiến hành cùng với ban nhạc.	Các nghệ sĩ chơi nhạc cụ gõ của Oregon đang diễu hành cùng ban nhạc.
A group of children play together in a fenced yard as an adult watches.	Một nhóm trẻ em chơi chung trong sân khi đang xem đồng hồ.	Một nhóm trẻ em đang chơi đùa cùng nhau trong một sân có hàng rào dưới sự quan sát của một người lớn.
A group of women are playing musical instruments together.	Một nhóm phụ nữ đang cùng nhau chơi nhạc cụ.	Một nhóm phụ nữ đang cùng nhau chơi nhạc cụ.
A little girl in a purple plaid dress is lying on the floor crying.	Một cô gái nhỏ trong một y phục màu tím màu tím nằm trên sàn khóc.	Một bé gái mặc váy kẻ caro màu tím đang nằm khóc trên sàn.
A man with graying hair shaves his beard.	Một người đàn ông tóc bạc cạo râu cạo râu.	Một người đàn ông tóc hoa râm đang cạo râu.
Two black dogs, a black puppy, and a white dog in the snow.	Hai con chó đen, một con chó đen, và một con chó trắng trong tuyết.	Hai con chó đen, một con chó con đen và một con chó trắng trên tuyết.
Man in a Miami basketball uniform jumping to make a shot.	Người đàn ông mặc đồng phục bóng rổ để làm cho một shot.	Người đàn ông mặc đồng phục bóng rổ Miami nhảy lên để thực hiện cú ném.
A woman is sitting outside her house with a blue door, enjoying the air.	Một người đờn bà ngồi bên ngoài nhà mình, với một cái cửa màu xanh, hưởng bầu không khí.	Một người phụ nữ đang ngồi bên ngoài ngôi nhà có cánh cửa màu xanh, tận hưởng không khí trong lành.
Kids are sitting on a man in a banana suit.	Trẻ con đang ngồi trên một người đàn ông mặc đồ vest.	Những đứa trẻ đang ngồi trên một người đàn ông mặc bộ đồ hình quả chuối.
A gray and white dog jumping over standing water in the sand.	Một con chó trắng trắng nhảy qua đứng nước trong cát.	Một chú chó màu xám và trắng nhảy qua vũng nước đọng trên cát.
A crowd gathered around a park water fountain in the rain.	Một đám đông tụ tập xung quanh một hồ nước trong mưa.	Một đám đông tụ tập quanh đài phun nước trong công viên dưới trời mưa.
Several older men, some in traditional headdress convene on a street corner.	Những người đàn ông lớn tuổi, một số trong truyền thống ông đã đi qua một góc phố.	Một số người đàn ông lớn tuổi, một số đội mũ truyền thống, tụ tập ở một góc phố.
A young Lassie looking dog is in the snow.	Một chú chó nhìn gái trẻ đang chìm trong tuyết.	Một chú chó giống Lassie đang ở trong tuyết.
The soccer player wearing the gold jersey is blocking the ball from the opposing team player.	Cầu thủ bóng đá đeo huy hiệu vàng đang chặn bóng từ cầu thủ bóng đá.	Cầu thủ bóng đá mặc áo vàng đang chặn bóng từ cầu thủ đội đối phương.
A woman in a black shirt is knitting with purple yarn.	Một người phụ nữ mặc áo sơ mi đen là có màu tím.	Một người phụ nữ mặc áo sơ mi đen đang đan len màu tím.
Four females of Asian descent are wearing golden dresses while performing point ballet.	Bốn người gốc Tây Ban Nha mặc áo hoàng kim trong khi biểu diễn.	Bốn cô gái gốc Á mặc váy vàng trong khi biểu diễn múa ba lê.
A person is playing an unique instrument.	Một người đang chơi một công cụ độc đáo.	Một người đang chơi một nhạc cụ đặc biệt.
A girl wearing black athletic clothing with the number 1102 on her jersey runs across some grass.	Một cô gái mặc đồ thể thao màu đen với số 1102 trên áo ngực của mình lướt qua cỏ.	Một cô gái mặc quần áo thể thao màu đen có số 1102 trên áo đang chạy qua bãi cỏ.
"A kid crosscountry skis wearing the number ""93""."	"Một thằng nhóc chơi trò trượt tuyết với con số ""93""."	"Một đứa trẻ trượt tuyết xuyên quốc gia mặc áo số ""93""."
A older gentleman and a young girl begin to work on a puzzle together.	Một người đàn ông lớn tuổi và một cô gái trẻ bắt đầu làm việc trên một câu đố với nhau.	Một ông già và một cô gái trẻ bắt đầu cùng nhau giải một câu đố.
A film crew films a young African boy in a yellow shirt.	Một bộ phim quay một cậu bé Châu Phi mặc áo vàng.	Một đoàn làm phim đang quay phim một cậu bé người Châu Phi mặc áo sơ mi vàng.
A streetlight lit bridge with a cyclist and some cars.	Một chuyến đi dạo với một chiếc xe đạp và vài chiếc xe hơi.	Một ngọn đèn đường chiếu sáng cây cầu cùng với một người đi xe đạp và một số ô tô.
A man rides a kicking bull in a bullpen.	Một người cưỡi một con trâu bò.	Một người đàn ông đang cưỡi một con bò đực đang đá trong chuồng bò.
A boy jumping to hit a tennis ball with his racket	♪ A boy để đánh một trận bóng bóng đá với tiền của mình ♪	Một cậu bé nhảy lên để đánh một quả bóng tennis bằng vợt của mình
Kids scale a wall as two other people watch.	Trẻ em leo tường như hai người khác xem.	Trẻ em trèo tường trong khi hai người khác đứng nhìn.
People walking about a university campus with palm trees in the background.	Những người đi bộ về một trường đại học với những cây cọ ở phía sau.	Mọi người đi bộ quanh khuôn viên trường đại học với những cây cọ ở phía sau.
Little girl kicks black object at karate class.	Một bé gái đá bóng vào lớp.	Cô bé đá một vật màu đen trong lớp học karate.
Two men trying to hoist themselves up from the water on to a walkway made of tires.	Hai người đàn ông đang cố gắng để tự nâng mình lên từ nước trên một đường đi bộ của lốp xe.	Hai người đàn ông đang cố gắng kéo mình lên khỏi mặt nước để đi trên lối đi làm bằng lốp xe.
Two men breakdancing, with a crowd looking on.	Hai người đàn ông nhảy nhót, với một đám đông nhìn chằm chằm.	Hai người đàn ông đang nhảy breakdance trước sự chứng kiến ​​của đám đông.
A professionally dressed woman standing at a podium debating or discussing something of importance.	Một người đàn bà ăn mặc nhã nhặn đứng trước một cuộc tranh cãi hoặc bàn luận về một điều gì đó có tầm quan trọng.	Một người phụ nữ ăn mặc chuyên nghiệp đang đứng trên bục tranh luận hoặc thảo luận về một điều gì đó quan trọng.
A woman is laying down on a sofa laughing.	Một người phụ nữ đang ngồi trên một cái bệ cười.	Một người phụ nữ đang nằm trên ghế sofa và cười.
A dirt floor gets swept by one white and one black woman.	Tầng đất bị một phụ nữ da trắng và một phụ nữ da đen quét sạch.	Một người phụ nữ da trắng và một người phụ nữ da đen đang quét sàn đất.
A deer jumps a fence.	Một con nai nhảy qua hàng rào.	Một con hươu nhảy qua hàng rào.
Three dogs play with each other out in the field.	Những con chó chơi với nhau trên chiến trường.	Ba con chó đang chơi đùa với nhau ở ngoài cánh đồng.
Two young children are on sand.	Hai đứa trẻ đang ở trên cát.	Hai đứa trẻ đang ở trên cát.
A smiling young boy plays in the leaves among the ducks.	Một chàng trai trẻ mỉm cười chơi trong những cái lá giữa những con vịt.	Một cậu bé tươi cười đang chơi đùa giữa đám lá cây giữa đàn vịt.
These four people are standing outdoors, with 3 dogs.	Bốn người này đang đứng bên ngoài, với 3 con chó.	Bốn người này đang đứng ngoài trời, cùng với 3 con chó.
While visiting the Mayan ruins, a guide points in the direction of more attractions.	Trong khi đi thăm tàn tích, một điểm dẫn đầu hướng đến nhiều sự thu hút hơn.	Khi tham quan di tích của người Maya, hướng dẫn viên sẽ chỉ đường đến nhiều điểm tham quan hơn.
Girl wearing radio t-shirt has open mouth	#############i khi mở nhạc##	Cô gái mặc áo phông radio há miệng
A tribal group filling water jugs in the desert.	Một nhóm nước tràn ngập trong sa mạc.	Một nhóm bộ lạc đang lấy đầy bình nước trong sa mạc.
A man standing on a city street.	Một người đàn ông đang đứng trên một đường phố.	Một người đàn ông đang đứng trên phố.
A flock of birds fly away with food in their beaks.	Một bầy chim bay mất với đồ ăn trong mình nó.	Một đàn chim bay đi với thức ăn trong mỏ.
Two men ride through farm land as they guide their mule powered trailer.	Hai người đàn ông đi ngang qua vùng đất nông trại khi họ lái xe tải của họ.	Hai người đàn ông đi qua trang trại trong khi kéo chiếc xe kéo do lừa kéo.
Two people stand at the peak of a mountain.	Hai người đứng trên đỉnh núi.	Hai người đứng trên đỉnh núi.
Young girl enjoying herself as she makes a snow angel.	Một cô gái trẻ đang tận hưởng khi cô ấy tạo ra một thiên thần tuyết.	Cô bé thích thú khi nặn thiên thần tuyết.
Three guys smiling for camera and showing off their muscles.	Ba anh chàng đang cười với máy ảnh và khoe khoang cơ bắp của mình.	Ba chàng trai mỉm cười trước ống kính và khoe cơ bắp.
A person is writing on a chalkboard in a empty classroom.	Một người đang viết trên bảng trong một trường hợp trống.	Một người đang viết lên bảng đen trong một lớp học trống.
A man in a black shirt sitting at a table with an open Apple laptop in front of him.	Một người đàn ông trong một chiếc áo sơ mi đen ngồi trên bàn với một nắp mở mở trước mặt anh ta.	Một người đàn ông mặc áo sơ mi đen đang ngồi ở bàn với chiếc máy tính xách tay Apple đang mở trước mặt.
Four people relaxing on a grassy hill overlooking a rocky valley.	Bốn người đang nằm trên một ngọn đồi xanh, trên một thung lũng.	Bốn người đang thư giãn trên một ngọn đồi cỏ nhìn xuống một thung lũng đá.
